iter	Passed	Remaining
337	1216	2382
338	1219	2377
339	1222	2372
340	1225	2367
341	1227	2361
342	1230	2356
343	1234	2353
344	1244	2362
345	1248	2360
346	1252	2356
347	1254	2350
348	1257	2346
349	1260	2341
350	1263	2337
351	1267	2332
352	1269	2327
353	1273	2324
354	1276	2319
355	1279	2314
356	1283	2311
357	1287	2309
358	1291	2306
359	1295	2303
360	1298	2298
361	1301	2293
362	1304	2288
363	1307	2284
364	1309	2278
365	1312	2274
366	1315	2269
367	1318	2264
368	1321	2259
369	1324	2254
370	1326	2249
371	1329	2245
372	1334	2242
373	1337	2239
374	1342	2236
375	1345	2233
376	1348	2228
377	1351	2223
378	1354	2218
379	1357	2214
380	1360	2209
381	1362	2204
382	1365	2199
383	1368	2195
384	1371	2190
385	1374	2185
386	1376	2180
387	1381	2179
388	1385	2176
389	1390	2174
390	1394	2171
391	1396	2166
392	1399	2161
393	1402	2157
394	1405	2152
395	1407	2147
396	1410	2142
397	1413	2138
398	1416	2133
399	1419	2128
400	1421	2123
401	1424	2119
402	1433	2123
403	1441	2127
404	1444	2122
405	1447	2117
406	1450	2113
407	1452	2108
408	1455	2103
409	1458	2098
410	1461	2093
411	1463	2088
412	1466	2084
413	1469	2079
414	1472	2075
415	1475	2070
416	1479	2068
417	1483	2065
418	1489	2065
419	1492	2061
420	1495	2056
421	1498	2052
422	1502	2049
423	1506	2046
424	1511	2044
425	1514	2041
426	1518	2037
427	1521	2033
428	1526	2032
429	1532	2030
430	1538	2031
431	1542	2027
